gene,p-value,parental difference (B6-DBA)
Asb18,0.31890109,-0.182
Iqca,0.73006826,0.069
Iqca,0.59520662,0.551
Iqca,0.37863763,-0.366
Iqca,0.82545163,-0.048
Iqca,0.75273312,0.055
Col6a3,0.39745267,0.262
Rab17,0.24307751,0.208
Ilkap,0.10408811,-0.236
Hes6,0.78141057,-0.112
Per2,0.1887956,-0.464
Affy_10356626,0.28208026,0.247
Hdac4,0.86274191,-0.018
Ndufa10,0.74049485,-0.05
Olfr1416,0.62104713,0.163
Olfr1415,0.84930877,0.04
Olfr1414,0.22977962,-0.217
Myeov2,0.8662683,0.032
Otos,0.82161793,-0.053
Ankmy1,0.9659121,0.008
Capn10,0.27819887,-0.259
Kif1a,1,0
Hmgcs2,0.17746195,2.12
2310007B03Rik,0.45012501,-0.166
Mterfd2,0.45074862,0.132
Rpl17,0.20624686,-0.146
Pask,0.56059659,0.1
Hdlbp,0.18171337,-0.18
Stk25,0.9430481,-0.01
Thap4,0.58015822,0.111
Dtymk,0.71152635,0.092
Pdcd1,0.073095986,-0.439
Affy_10356873,0.3966401,-0.153
Affy_10356876,0.52440704,0.086
Affy_10356878,0.80675766,0.061
St8sia4,0.85913932,0.025
Slco4c1,0.6100204,-0.071
Slco6b1,0.16173651,0.262
Affy_10356916,0.51206691,-0.101
Slco6c1,0.54573411,-0.119
D1Ertd622e,0.83582773,0.053
Ppip5k2,0.29938809,-0.196
Pam,0.60306045,0.157
Affy_10356995,0.36348965,-0.15
Affy_10356997,0.56107846,0.126
Prdx2,0.464895,-0.191
Affy_10357001,0.40758748,0.271
Rnf152,0.12567742,0.433
Pign,0.20619892,0.239
Bcl2,0.8480155,-0.041
Kdsr,0.88055933,0.054
Vps4b,0.24006437,-0.128
Serpinb3a,0.24748812,0.272
Serpinb3d,0.14489353,-0.25
Serpinb3b,0.14252108,-0.259
Serpinb3c,0.58062971,-0.101
Gm5702,0.72559834,-0.077
Cdh19,0.76180635,0.057
Dsel,0.94764601,-0.01
Affy_10357120,0.000389098,-1.033
Affy_10357122,0.12950246,0.392
Tsn,0.12148082,0.326
Affy_10357133,0.021854362,0.582
2900060B14Rik,0.15943681,0.222
Gli2,0.50095198,-0.131
Inhbb,0.61654814,-0.129
Ralb,0.74863457,-0.062
Epb4.1l5,0.45980498,0.125
Ptpn4,0.26643434,0.336
Tmem177,0.055240654,0.463
Gm101,0.44902437,-0.146
Tmem37,0.46151979,-0.244
Dbi,0.041637678,0.508
Steap3,0.40208992,0.294
Marco,0.19361757,0.841
Insig2,0.9050568,0.057
Htr5b,0.67091399,-0.085
Ddx18,0.4613926,0.121
Hmgcs2,0.17746195,2.12
Dpp10,0.47147955,-0.113
Affy_10357328,0.38955478,-0.175
Actr3,0.12631127,0.362
Lypd1,0.74874095,-0.06
Nckap5,0.62873757,-0.094
Nckap5,0.41227737,0.145
Rpl27a,0.74299261,0.058
Tmem163,0.43279406,-0.15
Ysk4,0.50441906,0.116
Zranb3,0.37661849,0.163
Lct,1,0
Mcm6,0.026563437,0.892
Dars,0.12061156,0.519
Cxcr4,0.95606332,0.014
Affy_10357476,0.43793421,-0.128
Rpl31,0.36421188,0.117
Daf2,0.35592947,0.215
Cd55,0.25857819,0.452
Zp3r,0.054095502,-0.36
Affy_10357514,0.59348383,-0.098
C4bp,0.41384918,-0.136
Affy_10357529,0.20063635,-0.278
Pfkfb2,0.53726937,0.147
Il24,0.73197541,-0.068
Il20,0.62218874,0.098
Il19,0.93679096,0.01
Mapkapk2,0.26758933,0.224
Dyrk3,0.83841715,-0.034
Rassf5,0.93742935,-0.012
Ikbke,0.7232737,0.173
Srgap2,0.38981622,0.228
Affy_10357656,0.26715804,0.265
Affy_10357658,0.059540096,-0.6
Mfsd4,0.19889381,-0.262
Cdk18,0.72299888,-0.061
Gm10188,0.69851885,-0.086
Tmcc2,0.67155031,-0.091
Cntn2,0.20451037,-0.259
Nfasc,0.080405697,-0.308
Mdm4,0.87227081,0.031
Ppp1r15b,0.73264595,0.052
Sox13,0.43451682,-0.152
Snrpe,0.19706512,-0.561
Zc3h11a,0.96008428,0.01
Atp2b4,0.11387091,0.276
Affy_10357856,0.075200689,0.389
Optc,0.21227666,-0.244
Prelp,0.27284574,0.282
Btg2,0.16912106,0.836
Adora1,0.98602986,-0.006
Affy_10357886,0.95232266,-0.015
Ppfia4,0.78941093,0.058
Tmem183a,0.75130226,-0.041
4931440L10Rik,0.3080836,-0.187
Ppp1r12b,0.53374273,-0.145
Ppp1r12b,0.75195136,-0.057
Ppp1r12b,0.70592203,0.059
Ppp1r12b,0.92870015,-0.015
Ppp1r12b,0.21408187,0.265
Ppp1r12b,0.33545418,0.105
Ppp1r12b,0.20439257,0.222
Lgr6,0.46703497,-0.144
Ptprv,0.15630453,-0.305
Gpr37l1,0.4269237,-0.21
Elf3,0.45167291,-0.3
Rnpep,0.063490369,0.577
Timm17a,0.3797224,0.241
Shisa4,0.81980496,-0.055
Ipo9,0.53183493,0.077
Nav1,0.64211097,0.093
Pkp1,0.26787701,-0.21
Igfn1,0.41728041,-0.151
2310006M14Rik,0.73722679,-0.046
5730559C18Rik,0.91580765,-0.021
Gpr25,0.91322437,-0.023
Camsap1l1,0.040599312,-0.241
Nr5a2,0.1485131,0.218
Affy_10358222,0.4754974,0.174
Ptprc,0.38386297,0.552
Nek7,0.87750382,0.026
Lhx9,0.36853254,-0.188
Affy_10358281,0.7867167,-0.044
Crb1,0.045643681,-0.293
Cfhrc,0.72706614,0.083
Cfhr1,0.14353766,-0.356
Cfhr3,0.6418616,-0.149
BC026782,0.25118149,0.331
Cfh,0.85742217,0.036
Gm4845,0.75160747,0.114
Cdc73,0.86911501,-0.027
Trove2,0.23354321,0.315
Rgs2,0.2436187,0.649
Rgs13,0.93235759,-0.016
Rgs1,0.60182786,0.224
Rgs21,0.66280724,-0.08
Affy_10358419,0.85443961,-0.028
Rgs18,0.73641049,0.067
Affy_10358428,0.4977036,-0.096
Gm9931,0.72718685,0.062
Zfp825,0.63556314,-0.081
Pla2g4a,0.46194216,0.308
Rbm3,0.9126381,-0.042
Bex4,0.87217726,-0.03
BC003331,0.15690467,0.292
Prg4,0.12311171,0.719
Hmcn1,0.83676797,-0.042
Hmcn1,0.4774652,0.13
Hmcn1,0.82517583,-0.048
Hmcn1,0.33719753,0.246
Hmcn1,0.517218,-0.112
Hmcn1,0.49712601,0.167
Hmcn1,0.22335282,-0.212
Hmcn1,0.59361035,0.166
Hmcn1,0.36074041,0.215
Hmcn1,0.5644709,0.124
Hmcn1,0.19159469,-0.385
Hmcn1,0.68149536,-0.13
Hmcn1,0.77177662,0.092
Hmcn1,0.11271943,-0.273
Hmcn1,0.15292104,0.281
Hmcn1,0.60794585,-0.104
Hmcn1,0.20233946,0.28
Hmcn1,0.092621767,0.342
Hmcn1,0.10260369,0.385
Hmcn1,0.30460765,0.254
Hmcn1,0.73045533,-0.067
Hmcn1,0.5889638,0.135
Hmcn1,0.73486896,0.079
Hmcn1,0.13433349,0.318
Hmcn1,0.90051959,-0.024
Hmcn1,0.85164242,0.062
Hmcn1,0.71637563,-0.082
Hmcn1,0.48325151,0.198
Hmcn1,0.84701215,0.042
Hmcn1,0.85225512,0.036
Hmcn1,0.68932169,0.08
Hmcn1,0.87901625,-0.036
Hmcn1,0.46855712,0.144
Hmcn1,0.58198818,0.144
Hmcn1,0.25031236,0.144
Hmcn1,0.31477849,-0.283
Hmcn1,0.09693157,0.382
Hmcn1,0.33037275,-0.21
Hmcn1,0.57125447,0.15
Hmcn1,0.79503352,-0.038
Hmcn1,0.31589982,0.15
Hmcn1,0.25719268,0.298
Hmcn1,0.92141536,-0.022
Hmcn1,0.86291138,-0.035
Hmcn1,0.65798864,-0.077
Hmcn1,0.5806264,-0.129
Hmcn1,0.29746755,-0.271
Hmcn1,0.16970454,0.199
Hmcn1,0.10813384,0.298
Hmcn1,0.24516826,-0.281
Hmcn1,0.35845026,-0.182
Hmcn1,0.97858019,-0.008
Hmcn1,0.50514961,0.148
Hmcn1,0.27371283,0.256
Hmcn1,0.29518558,0.252
Hmcn1,0.12942154,0.345
Hmcn1,0.80901941,0.047
Hmcn1,0.9824244,0.004
Hmcn1,0.45666261,-0.126
Hmcn1,0.62268821,0.091
Hmcn1,0.76673465,0.091
Hmcn1,0.52452519,0.179
Hmcn1,0.028558679,-0.548
Hmcn1,0.9469039,-0.014
Hmcn1,0.96482942,-0.009
Hmcn1,0.22671119,0.303
Hmcn1,0.77369025,0.087
Hmcn1,0.56293338,0.126
Hmcn1,0.65508562,-0.078
Hmcn1,0.96578865,-0.012
Hmcn1,0.85165144,0.065
Hmcn1,0.084663519,0.452
Hmcn1,0.95551431,0.016
Hmcn1,0.53710205,0.135
Hmcn1,0.31652074,0.281
Hmcn1,0.28711121,0.264
Hmcn1,0.68706734,-0.071
Ivns1abp,0.49398472,0.118
1200016B10Rik,0.61473739,0.132
Rnf2,0.87933856,-0.038
Cox7b,0.53736944,-0.094
Affy_10358711,0.2796333,-0.266
1700025G04Rik,0.87712987,0.029
1700025G04Rik,0.047922916,-0.427
Tsen15,0.67570967,0.077
Rgl1,0.80489836,-0.052
Gm7278,0.5786758,0.097
Smg7,0.63682814,0.089
Affy_10358785,0.2880186,0.36
Lamc2,0.82394975,0.039
Lamc1,0.80999271,0.059
E330020D12Rik,0.40056289,-0.203
Dhx9,0.62928563,-0.093
Npl,0.27475438,-0.659
F630010C12Rik,0.53218516,-0.1
Sord,0.80542801,0.07
Rgsl1,0.86412533,-0.034
Affy_10358913,0.17156599,0.176
Teddm2,0.34974744,0.195
Affy_10358926,0.79462407,0.067
Cacna1e,0.78058442,-0.051
Ier5,0.58075447,0.144
Mr1,0.81741535,-0.104
BC034090,0.35886913,-0.214
Xpr1,0.79460401,0.035
Gm5532,0.26609665,-0.221
Lhx4,0.85780955,-0.035
Qsox1,0.54334441,0.242
Cep350,0.45109232,0.138
Affy_10359078,0.54225634,0.242
Affy_10359080,0.30872759,0.167
Affy_10359082,0.49147827,-0.091
Affy_10359084,0.48782165,0.142
Cep350,0.24255052,0.285
Tor1aip1,0.39045461,0.202
Fam163a,0.34688095,-0.197
Tdrd5,0.84058537,-0.035
9430070O13Rik,0.49557822,-0.074
Soat1,0.75086593,0.111
Tor3a,0.29483801,0.58
Fam20b,0.20907375,-0.685
Ralgps2,0.48663701,0.271
1700057K13Rik,0.47681249,-0.174
Rasal2,0.1816586,0.355
Fam5b,0.26614937,-0.187
Pappa2,0.64297166,0.117
Pappa2,0.12010121,-0.331
Pappa2,0.53298715,-0.141
1600012P17Rik,0.20343914,-0.249
Atp5h,0.36928923,0.221
Affy_10359299,0.27009287,-0.247
Kiaa0040,0.16249751,0.314
Tnn,0.42804617,-0.188
Cacybp,0.74169237,0.08
Rabgap1l,0.083726353,0.284
Gpr52,0.18375448,0.25
Zbtb37,0.23448394,0.257
Dars2,0.084317769,0.71
Klhl20,0.11858239,0.571
Affy_10359419,0.13087421,-0.305
Prdx6,0.93423435,-0.014
Aph1a,0.79407906,-0.052
Fasl,0.38595823,0.114
Suco,0.48788995,0.132
4930558K02Rik,0.28188622,0.181
Dnm3,0.12603465,0.368
Dnm3os,0.48007807,0.114
Mettl13,0.35439406,-0.14
Eif4e1b,0.33234696,-0.23
Affy_10359520,0.07140625,-0.478
Bat2l2,0.38496801,-0.119
Fmo4,0.79934727,-0.148
Fmo1,0.57891684,-0.263
Fmo2,0.68489883,-0.593
Fmo3,0.99246893,-0.018
4921528O07Rik,0.74334583,0.054
Prrx1,0.34889137,0.352
Gorab,0.68110811,0.082
LOC280487,0.17746195,2.12
Mettl11b,0.46438793,-0.122
Scyl3,0.44622804,-0.128
Blzf1,0.8926071,-0.029
Atp1b1,0.19430227,-0.391
Xcl1,0.60021885,0.094
Tbx19,0.2251346,-0.306
Sft2d2,0.78023372,0.053
Tiprl,0.010611114,0.453
Dcaf6,0.1473319,-0.496
Mpzl1,0.24763501,0.311
Rcsd1,0.6429559,0.094
Pou2f1,0.30164311,0.176
Dusp27,0.52526812,-0.152
Mael,0.51020853,-0.146
Ildr2,0.23359702,0.37
Pogk,0.33301361,0.186
Uqcr11,0.61928103,0.165
Gm4847,0.90907169,0.019
Fmo9,0.14213685,-0.216
Uck2,0.79654146,-0.07
Uck2,0.019321214,0.597
mir-689-1,0.20162424,-0.308
Mgst3,0.85063157,-0.151
Lrrc52,0.59244808,-0.11
Pbx1,0.20832926,0.302
LOC640480,0.22037268,0.415
Nuf2,0.17074412,0.198
Rgs4,0.007421444,-0.752
Hsd17b7,0.32650666,-0.468
Ddr2,0.043366909,0.446
Uap1,0.75558271,-0.061
Uhmk1,0.95699787,-0.007
Nos1ap,0.95597069,-0.009
Atf6,0.84179554,-0.029
Affy_10359999,0.78665008,-0.079
Affy_10360001,0.22992155,-0.302
Dusp12,0.79255925,0.06
Fcrlb,0.57165037,-0.128
Fcrla,0.65867455,-0.09
Uqcrb,0.87579061,0.028
Fcgr2b,0.68339645,0.142
Fcgr3,0.19902853,0.413
Sdhc,0.90021644,-0.023
Pcp4l1,0.89229897,0.086
Tomm40l,0.36571686,0.178
Fcer1g,0.59693027,0.402
Ndufs2,0.29768244,-0.158
Ppox,0.068048038,0.532
Usp21,0.16275391,0.257
Ufc1,0.84465688,-0.033
Rpl27,0.41062282,0.123
Nit1,0.18966916,0.303
Klhdc9,0.73023241,-0.072
B930036N10Rik,0.21063599,2.678
Refbp2,0.99393782,0.002
Itln1,0.2053768,-0.225
Ly9,0.16390199,0.531
Slamf7,0.39421567,0.274
Affy_10360185,0.17626643,-0.316
Vangl2,0.37809507,-0.173
Nhlh1,0.09112308,-0.344
Ncstn,0.38079569,0.259
Timm23,0.66274695,-0.06
Pea15a,0.14213133,0.526
Casq1,0.538397,-0.131
Atp1a4,0.66320577,-0.08
Atp1a2,0.45380322,0.136
Kcnj9,0.21801118,-0.233
Slamf8,0.38135879,0.209
Fcrl6,0.66068374,-0.075
Dusp23,0.1328024,0.484
LOC100045972,0.30216166,0.357
Affy_10360326,0.64231226,0.06
Apcs,0.4987063,-0.719
Affy_10360332,0.32812553,-0.148
Olfr1408,0.68259838,-0.093
Olfr1406,0.24158473,-0.211
Fcer1a,0.9108929,-0.025
Darc,0.18886552,-0.62
Cadm3,0.27312505,-0.244
Gm4955,0.10584102,0.646
Ifi16,0.5757806,-0.21
E030037K03Rik,0.10672536,1.168
AI607873,0.19201778,1.33
Ifi204,0.11016706,1.399
Ifi203,0.3993515,0.602
Ifi202b,0.36907487,-1.144
Ifi205,0.059977643,1.644
Olfr231,0.32729946,-0.255
Olfr419,0.44421953,-0.163
Grem2,0.10655473,-0.554
Rgs7,0.46208303,0.11
Fh1,0.4604466,0.191
Opn3,0.36800451,-0.182
Chml,0.49005785,0.142
Pld5,0.92712611,-0.014
B020018G12Rik,0.44116923,0.132
Cep170,0.51133435,0.152
mir-350,0.91534526,0.021
Akt3,0.44871335,0.221
Adss,0.54906935,0.104
Pppde1,0.90105419,-0.048
4930527J03Rik,0.060878455,-0.33
Fam36a,0.90612701,0.023
Hnrnpu,0.95356387,-0.008
Smyd3,0.97027129,0.008
Rpl29,0.3188667,-0.23
Tfb2m,0.91852926,0.02
Ahctf1,0.41355049,0.166
Rpl21,0.45788601,-0.092
Cabc1,0.5832324,0.123
Psen2,0.052682074,0.648
Gm5069,0.84195328,0.052
Gm10001,0.68892025,0.079
6330403A02Rik,0.62644717,-0.114
Mixl1,0.80985616,-0.056
H3f3a,0.79284467,-0.039
Ephx1,0.93262638,0.03
Nvl,0.53020138,0.109
Wdr26,0.84560444,-0.027
Rpl35a,0.69317824,0.075
Ccdc121,0.63775849,-0.13
Affy_10360743,0.90472505,0.033
Lbr,0.96477661,0.011
Gm5533,0.44254059,-0.193
Enah,0.13947422,-0.21
Vmn1r1,0.44193949,0.144
Degs1,0.54419842,0.087
Fbxo28,0.94441896,0.014
Affy_10360802,0.96698323,-0.012
Gm10517,0.3730542,-0.222
Capn2,0.092912509,0.442
4922505E12Rik,0.16923722,-0.364
1700056E22Rik,0.30476558,-0.251
Hlx,0.16063323,0.226
Mosc1,0.87127369,-0.02
Mosc2,0.55074248,0.11
C130074G19Rik,0.48570468,-0.161
Mark1,0.42255739,-0.133
Iars2,0.70427049,0.056
9630028B13Rik,0.075538053,-0.384
Gm9722,0.056622655,0.571
Lyplal1,0.13783153,-0.52
Tgfb2,0.59464877,-0.151
Rrp15,0.34930915,-0.166
Spata17,0.89600785,0.022
Kctd3,0.25161376,-0.187
Affy_10360970,0.43140686,-0.097
Kcnk2,0.16309958,-0.21
Pdcd5,0.60559091,-0.112
Cenpf,0.52128645,0.076
Smyd2,0.35783425,-0.208
Affy_10361021,0.15827704,-0.36
Prox1,0.090925687,-0.324
Rps6kc1,0.81009649,0.033
Vash2,0.43584423,-0.186
Affy_10361063,0.12798195,-0.364
Mfsd7b,0.99809858,0.001
Mfsd7b,0.58789474,-0.14
Tatdn3,0.41929251,0.189
Fam71a,0.05708903,-0.391
Atf3,0.63386372,0.247
Nenf,0.29197517,0.238
Ppp2r5a,0.89784108,-0.024
Dtl,0.20066834,-0.26
Affy_10361129,0.80052494,-0.072
Affy_10361131,0.77785559,0.058
Affy_10361133,0.92386864,0.027
Slc30a1,0.40698976,-0.21
Traf5,0.54246788,0.105
Gstp2,0.34963009,-0.558
Rcor3,0.44707218,0.156
Hhat,0.47840588,-0.098
A730013G03Rik,0.63311022,0.116
Sertad4,0.141769,-0.279
Syt14,0.31996472,-0.236
AA408296,0.067077525,-0.314
Traf3ip3,0.13767571,0.209
Hsd11b1,0.19452281,-0.541
G0s2,0.46357435,0.353
Camk1g,0.94432674,0.014
mir-205,0.87863391,-0.042
Affy_10361267,0.48050303,0.169
Cd46,0.4199728,0.216
Cr1l,0.23953889,0.278
Cr2,0.46480797,-0.104
Cnksr3,0.074651176,-0.314
Ipcef1,0.53877216,-0.115
LOC674717,0.619561,0.073
Affy_10361356,0.43348326,-0.337
Rgs17,0.074232072,-0.299
Mtrf1l,0.60692668,0.111
Fbxo5,0.98950583,-0.004
Syne1,0.21495132,0.248
Affy_10361507,0.47174946,-0.112
Syne1,0.26090812,0.213
Affy_10361616,0.94656524,0.013
Rmnd1,0.37609128,0.159
Zbtb2,0.99061759,-0.002
Affy_10361640,0.20894696,0.429
Lrp11,0.11375394,-0.326
Nup43,0.089922801,0.374
Lats1,0.89401829,-0.018
Katna1,0.25363351,0.162
BC013529,9.28948E-05,-2.007
Ppil4,0.15266706,-0.454
Zc3h12d,0.23067482,0.502
Sash1,0.97603185,-0.006
Affy_10361708,0.17101112,-0.277
Gm5177,0.57867447,0.092
Shprh,0.31387114,0.144
Fbxo30,0.57090379,-0.12
Epm2a,0.91467176,-0.017
Timm8a1,0.85076269,0.05
Affy_10361763,0.14625399,-0.176
Affy_10361765,0.80585752,-0.044
Sf3b5,0.18925716,-0.254
Plagl1,0.55640953,-0.141
Affy_10361787,0.78763343,0.05
Fuca2,0.416464,-0.431
Adat2,0.67605719,-0.081
Hivep2,0.10029457,0.519
Rpl23a,0.95609698,0.005
Nmbr,0.84691593,-0.038
Affy_10361824,0.41574769,0.193
Cited2,0.53194775,-0.209
Txlnb,0.90043278,-0.026
Reps1,0.35174395,0.208
Gm10827,0.84279736,0.032
Nhsl1,0.082508782,0.683
Nhsl1,0.17382082,0.535
Perp,0.9080993,-0.026
Affy_10361892,0.8681639,0.04
Olig3,0.55066323,-0.101
Ifngr1,0.2387537,0.404
Il22ra2,0.60381404,0.12
Affy_10361914,0.69580744,-0.088
Il20ra,0.36568409,-0.159
Map3k5,0.98674912,-0.003
Mtap7,0.19014583,0.186
Gm6251,0.25645099,-0.175
Bclaf1,0.35574524,-0.187
Fam54a,0.14311762,-0.221
F730021E23Rik,0.035860637,-0.321
Ahi1,0.37029789,0.158
Gm2467,0.28124902,0.21
Hbs1l,0.41009375,-0.171
Aldh8a1,0.83419384,-0.036
1700021A07Rik,0.36653593,-0.219
1700020N01Rik,0.34649452,-0.236
Gm5420,0.8282882,0.053
Sgk1,0.44788078,0.258
Raet1d,0.52440804,-0.546
Raet1b,0.70072731,0.074
Gm10825,0.48779391,-0.147
Slc2a12,0.89928738,-0.027
Affy_10362111,0.98921354,-0.015
Gm10824,0.9200473,-0.021
1110021L09Rik,0.11679822,0.273
Vnn3,0.17655107,0.492
Vnn1,0.79179746,0.201
Taar1,0.40389812,-0.148
Taar2,0.96721684,-0.005
Taar3,0.29176189,-0.212
Taar4,0.53175067,-0.122
Taar5,0.22630432,-0.254
Taar7b,0.88792702,-0.042
Affy_10362160,0.3984559,-0.241
Taar7d,0.28148814,-0.176
Taar7e,0.77311285,0.055
Taar7f,0.72473549,-0.062
Taar8a,0.96656496,-0.006
Stx7,0.38416594,0.225
Moxd1,0.1048959,-3.101
Ctgf,0.44363179,0.266
Affy_10362208,0.36104517,-0.401
Med23,0.36504972,0.164
Affy_10362243,0.3018478,0.287
Epb4.1l2,0.58750413,0.142
Affy_10362271,0.20981715,-0.271
Tmem200a,0.46191117,-0.158
Samd3,0.31429477,-0.185
Affy_10362289,0.80999601,0.043
Arhgap18,0.20060184,0.436
Ube2l3,0.53892945,0.077
Affy_10362312,0.9188253,0.021
Ptprk,0.85991125,0.032
Themis,0.23595704,0.843
Pebp1,0.23001248,-0.93
6330407J23Rik,0.6386619,0.089
9330159F19Rik,0.19743543,-0.218
Echdc1,0.097408992,0.577
Affy_10362387,0.34555644,0.323
Affy_10362389,0.4061249,-0.157
Psmd2,0.71346212,0.07
Hddc2,0.72075942,-0.077
Affy_10362402,0.12515963,-0.374
Trdn,0.54160258,0.106
Trdn,0.44854032,0.148
Trdn,0.77308297,0.109
Trdn,0.93488351,-0.025
Trdn,0.3247132,-0.54
Trdn,0.99021716,0.01
Trdn,0.52187132,0.611
Trdn,0.5186788,0.394
Trdn,0.11470804,-0.561
Trdn,0.41433969,-0.398
Trdn,0.82926839,0.049
Trdn,0.75417932,0.256
Trdn,0.70697388,-0.33
Trdn,0.034933045,-0.404
Affy_10362448,0.38610976,-0.182
Trdn,0.34841024,-0.292
Trdn,0.72090114,0.066
Trdn,0.97864804,-0.004
Trdn,0.74069111,0.066
Trdn,0.98052468,-0.01
Sult3a1,0.98779729,-0.01
Rsph4a,0.67902542,0.092
Bet3l,0.48256295,-0.146
Tspyl1,0.40690494,0.149
Tspyl4,0.72883199,-0.11
Col10a1,0.8753252,-0.037
Frk,0.073898671,0.396
Gstm3,0.88369901,0.092
Hs3st5,0.034023722,-0.482
Hdac2,0.72594384,0.07
5930403N24Rik,0.68063783,-0.117
Affy_10362536,0.16802146,-0.308
Lama4,0.040736446,0.369
Tube1,0.6611607,0.073
Npm1,0.933262,-0.02
Fyn,0.074709363,0.462
Traf3ip2,0.40366355,0.123
Gm8899,0.18017302,0.352
Affy_10362630,0.55882801,-0.102
Rev3l,0.69436994,-0.086
4930547M16Rik,0.46414668,-0.173
Gm8055,0.85596913,0.063
Rnu3a,0.092284556,1.164
Cdk19,0.43002944,0.19
Clc22a16,0.63570935,-0.104
Ddo,0.84374965,0.048
9030224M15Rik,0.43297155,-0.18
Wasf1,0.63351042,-0.072
Akd1,0.77086804,0.042
Akd1,0.19805943,-0.277
Akd1,0.28000744,-0.191
Zbtb24,0.41889894,0.141
Mical1,0.44195544,-0.123
Ppil6,0.74783726,0.117
Cd164,0.1665735,-0.183
Sesn1,0.38116383,0.22
Snx3,0.6416939,0.097
Ostm1,0.67697199,-0.07
Sec63,0.47483989,-0.102
Scml4,0.50171143,-0.165
9030612E09Rik,0.50451668,-0.166
Pdss2,0.44532047,0.16
Bend3,0.001825847,-0.451
Pam16,0.91475408,0.018
Cd24a,0.096084712,0.658
F830002L21Rik,0.73464451,-0.067
Gm9034,0.45452986,0.188
Rtn4ip1,0.83539772,-0.049
Aim1,0.57553868,-0.11
Affy_10362918,0.24589584,-0.299
Atg5,0.20905833,0.228
Affy_10362934,0.84605662,0.046
Gm6983,0.27456096,-0.304
Gm4795,0.61066923,-0.161
Prep,0.33324271,-0.17
Popdc3,0.30783404,-0.17
Bves,0.24649459,-0.169
Hace1,0.17515716,0.358
Gpx4,0.55652801,0.152
Affy_10363003,0.8854115,-0.02
Hmgcs2,0.17746195,2.12
Ascc3,0.63937696,0.08
Affy_10363054,0.35541137,0.171
Sim1,0.18607142,-0.272
Gp49a,0.21503903,0.714
Lilrb4,0.33332974,0.489
Rfx6,0.60219827,-0.092
Vgll2,0.12580026,-0.366
Dcbld1,0.22424289,0.309
Gopc,0.60869047,-0.121
Nepn,0.5070823,-0.142
Nus1,0.98206263,-0.003
Gm10674,0.26821193,-0.304
Slc35f1,0.98131136,0.007
Pln,0.80851777,0.048
Tmem229b,0.53499601,0.17
Asf1a,0.92700554,-0.019
Msl3l2,0.29703579,-0.208
Gja1,0.63241338,-0.137
Npm1,0.71317805,-0.075
Stard6,0.33354439,-0.134
Gm9956,0.71709121,-0.091
Affy_10363187,0.98339169,0.004
Affy_10363190,0.043920792,-0.37
Hsf2,0.85029202,0.05
Pkib,0.62704563,0.079
Fabp7,0.32454942,-0.602
Smpdl3a,0.31458638,0.249
Gcc2,0.29215204,0.221
Lims1,0.33090277,0.206
Ranbp2,0.70467038,-0.064
Ccdc138,0.72747925,0.069
Affy_10363331,0.92815824,0.025
Sh3rf3,0.46087568,-0.155
Ankrd57,0.78702435,0.048
P4ha1,0.39231188,-0.305
Timm23,0.85345974,-0.023
Pla2g12b,0.01197096,-0.417
Affy_10363377,0.20233672,-0.277
Micu1,0.60268827,0.102
Dnajb12,0.70762392,0.052
Ascc1,0.78810034,0.048
Spock2,0.93185974,-0.019
Psap,0.97259549,0.007
C10orf54,0.48369819,0.171
Pcbd1,0.55040893,-0.106
Tbata,0.71583968,0.05
Prf1,0.41980381,-0.146
Rpl27a,0.52147185,0.101
Nodal,0.43778744,-0.168
Lrrc20,0.68044541,0.08
Npffr1,0.48937337,-0.145
Ppa1,0.23398767,0.231
Sar1a,0.63715959,0.058
Tysnd1,0.75162736,0.058
Aifm2,0.3824548,0.214
Ass1,0.79865433,0.054
Neurog3,0.54390702,-0.127
Tacr2,0.19462129,-0.231
4930507D05Rik,0.74793234,-0.068
Kiaa1279,0.88685166,0.031
LOC280487,0.17746195,2.12
Slc25a16,0.34256034,-0.126
Dna2,0.28366753,-0.232
Rufy2,0.97410475,-0.006
3110049J23Rik,0.89978602,0.031
Pbld,0.64838104,0.088
Atoh7,0.1495464,-0.272
Herc4,0.39946975,-0.152
Gm10114,0.22676796,0.25
Dnajc12,0.84217285,0.06
Ctnna3,0.96709434,-0.008
D630028G08Rik,0.5593821,-0.117
Rps6,0.028364038,-0.209
Affy_10363701,0.38428077,-0.154
Jmjd1c,0.046226902,-0.308
Jmjd1c,0.50811784,0.106
Egr2,0.44109898,-0.187
Gm10797,0.94568723,0.013
Rtkn2,0.37798689,-0.118
Tmem26,0.72212987,-0.091
Rhobtb1,0.90679966,0.032
Ank3,0.68944875,-0.088
Ccdc6,0.30065248,-0.156
2310015B20Rik,0.18499797,-0.25
Slc16a9,0.58725058,0.116
Fam13c,0.5362398,-0.14
Bicc1,0.19679954,-0.262
Ipmk,0.85841662,0.029
Etv5,0.49603852,0.146
Hbs1l,0.21800005,-0.21
Zwint,0.45667838,0.193
Gm9815,0.43903588,-0.175
Gm5778,0.34529461,0.226
Pcdh15,0.36600062,-0.198
Gnaz,0.34353525,-0.188
Affy_10363967,0.38466879,-0.196
Rab36,0.3059756,0.171
Bcr,0.54181172,-0.072
Bcr,0.39001028,-0.172
Cytsa,0.70970381,0.065
Adora2a,0.66409767,0.079
Gm5779,0.16251889,0.4
Upb1,0.81164605,-0.049
Affy_10364049,0.41640382,0.262
