gene,p-value,parental difference (B6-DBA)
Affy_10338428,0.10148446,0.766
Affy_10338429,0.3449154,-0.482
Affy_10338430,0.52300169,0.275
Affy_10338431,0.9779664,0.015
Affy_10338432,0.1863569,0.558
Affy_10338433,0.87678847,-0.02
Affy_10338434,0.3960624,0.326
Affy_10338435,0.92456273,-0.022
Affy_10338436,0.56844175,-0.154
Copa,0.16967682,0.686
Affy_10338438,0.74256665,-0.144
Affy_10338439,0.18493699,0.492
Affy_10338440,0.90884512,0.062
Affy_10338441,0.87233291,-0.082
Affy_10338442,0.69255955,-0.213
Affy_10338443,0.86407876,0.108
Affy_10338444,0.52496128,-0.324
Affy_10338445,0.40476929,-0.356
Affy_10338446,0.5157485,-0.336
Affy_10338447,0.90417011,0.076
Affy_10338448,0.41145197,0.494
Affy_10338449,0.99014693,-0.009
Affy_10338450,0.14790981,0.798
Affy_10338451,0.80195651,0.084
Affy_10338452,0.15457764,-0.663
Affy_10338453,0.96218184,0.022
Affy_10338454,0.37097683,0.54
Affy_10338455,0.35584726,-0.707
Affy_10338456,0.93744274,-0.031
Affy_10338457,0.37029687,-0.341
Affy_10338458,0.50658938,-0.241
Affy_10338459,0.20721015,-0.572
Affy_10338460,0.8763756,0.039
Affy_10338461,0.56074439,-0.636
Affy_10338462,0.71533341,0.186
Affy_10338463,0.83077358,0.062
Affy_10338464,0.95934409,0.024
Affy_10338465,0.98208738,0.017
Affy_10338466,0.95141644,0.014
Affy_10338467,0.12092027,0.835
Affy_10338468,0.52534359,-0.366
Affy_10338469,0.20158717,0.4
Affy_10338470,0.28955217,-0.534
Affy_10338471,0.70787515,-0.064
Affy_10338472,0.7344259,0.083
Affy_10338473,0.54666511,-0.382
Affy_10338474,0.99317346,-0.002
Affy_10338475,0.020639775,0.622
Affy_10338476,0.80862723,-0.156
Affy_10338477,0.97960111,-0.009
Affy_10338478,0.85021473,0.127
Affy_10338479,0.34084192,0.42
Affy_10338480,0.67468682,0.269
Affy_10338481,0.47249956,0.358
LTR_Affy_10338482,0.97539423,-0.01
Affy_10338483,0.43201728,-0.26
Affy_10338484,0.65603356,-0.24
Affy_10338485,0.46707857,0.372
Affy_10338486,0.47268094,0.477
Affy_10338487,0.42401001,-0.61
Affy_10338488,0.65082888,-0.233
Affy_10338489,0.76829763,0.184
Affy_10338490,0.83892455,-0.117
Affy_10338491,0.021816546,0.587
Affy_10338492,0.73803628,0.2
Affy_10338493,0.73052406,0.118
Affy_10338494,0.94222695,-0.035
Affy_10338495,0.1645462,-0.627
Affy_10338496,0.89964852,-0.024
Affy_10338497,0.40983398,-0.87
Affy_10338498,0.52522743,-0.181
Affy_10338499,0.84950737,0.147
