target,gene,p-value,parental difference (B6-DBA)
1416253_at,Cdkn2d,0.31505526,-0.1062
1416254_a_at,Vps16,0.90196386,0.015
1416255_at,Gja4,0.82962464,-0.0384
1416256_a_at,Tubb5,0.42637178,-0.1286
1416257_at,Capn2,0.56746974,-0.1324
1416258_at,Tk1,0.58629372,-0.1344
1416259_at,Pex12,0.33575804,-0.1762
1416260_a_at,Snx1,0.82125666,-0.0274
1416261_at,Tmem19,0.74718842,-0.0376
1416262_at,Tmem19,0.58818442,0.0682
1416263_at,Abcb9,0.67668205,-0.1194
1416264_at,Abcb9,0.95251422,-0.0138
1416265_at,Capn10,0.73396264,-0.067
1416266_at,Pdyn,0.43227998,-0.2776
1416267_at,Scoc,0.34362517,0.4658
1416268_at,Ets2,0.47113988,-0.1084
1416269_at,Atp5j2,0.33352668,-0.1772
1416270_at,Polr2g,0.38007501,-0.1244
1416271_at,Perp,0.69826935,-0.1022
1416272_at,Map2k1ip1,0.20034274,-0.2116
1416273_at,Tnfaip2,0.47544191,-0.1316
1416274_at,Ctns,0.90655588,-0.014
1416275_at,Slc26a6,0.48336988,-0.1394
1416276_a_at,Rps4x,0.68514104,-0.068
1416277_a_at,Rplp1,0.67553027,-0.0416
1416278_a_at,Atp5o,0.52679452,-0.0996
1416279_at,Ap1b1,0.83429519,-0.0302
1416280_at,Sae2,0.36867484,0.093
1416281_at,Wdr45l,0.108836,-0.1336
1416282_at,Psmc3,0.94051859,-0.0092
1416283_at,Gart,0.76955748,0.0424
1416284_at,Mrpl28,0.53904651,-0.0768
1416285_at,Ndufc1,0.70824192,-0.0708
1416286_at,Rgs4,0.71935538,0.0764
1416287_at,Rgs4,0.41189631,0.1804
1416288_at,Dnaja1,0.50345114,0.1232
1416289_at,Plod1,0.61239705,0.1328
1416290_a_at,Psmc4,0.68896459,-0.0698
1416291_at,Psmc4,0.66115645,-0.0496
1416292_at,Prdx3,0.80534558,-0.047
1416293_at,Nfib,0.99747643,-0.0006
1416294_at,Scamp3,0.3429644,-0.1046
1416295_a_at,Il2rg,0.99173625,0.0026
1416296_at,Il2rg,0.70218218,0.056
1416297_s_at,Pap,0.43496726,-0.166
1416298_at,Mmp9,0.55885053,-0.0932
1416299_at,Shcbp1,0.54345222,-0.11
1416300_a_at,Slc25a3,0.26759913,0.1944
1416301_a_at,Ebf1,0.83845591,0.0892
1416302_at,Ebf1,0.60143874,0.1642
1416303_at,Litaf,0.68843733,0.0778
1416304_at,Litaf,0.25857386,0.3102
1416305_at,Sh3bp4,0.9776402,-0.0034
1416306_at,Clca3,0.78715738,-0.0436
1416307_at,Ap1m1,0.49771369,-0.0846
1416308_at,Ugdh,0.28132283,-0.3318
1416309_at,Nusap1,0.74386696,-0.139
1416310_at,Spint1,0.96268129,0.008
1416311_s_at,Tuba3a,0.53358476,-0.1364
1416312_at,Rars,0.75933828,-0.045
1416313_at,Mllt11,0.10886137,-0.221
1416314_at,AI839562,0.61380134,-0.098
1416315_at,Abhd4,0.43356166,0.1382
1416316_at,Slc27a2,0.50034544,-0.1648
1416317_a_at,Stambp,0.7074834,0.0658
1416318_at,Serpinb1a,0.99268103,-0.0038
1416319_at,Adk,0.17832773,0.1892
1416320_at,Sec22l2,0.32174341,-0.144
1416321_s_at,Prelp,0.96561531,-0.0202
1416322_at,Prelp,0.73549988,-0.0896
1416323_at,2410004N11Rik,0.6330436,-0.0698
1416324_s_at,2410004N11Rik,0.66828465,-0.0594
1416325_at,Crisp1,0.40605336,-0.128
1416326_at,Crip1,0.76896978,-0.0946
1416327_at,Ufc1,0.95809394,0.01
1416328_a_at,Atp6v0e,0.91286439,-0.0176
1416329_at,Cyfip1,0.63251943,-0.0554
1416330_at,Cd81,0.93510432,0.0098
1416331_a_at,Nfe2l1,0.9194972,-0.0218
1416332_at,Cirbp,0.58329748,-0.198
1416333_at,Dok2,0.82492033,-0.0304
1416334_at,Wwox,0.4374386,-0.688
1416335_at,Mif,0.29280151,-0.174
1416336_s_at,Snrpd1,0.55438645,0.1706
1416337_at,Uqcrb,0.73544991,0.058
1416338_at,Sh3gl1,0.69291943,-0.0638
1416339_a_at,Prkcsh,0.91202823,-0.0156
1416340_a_at,Man2b1,0.25872577,0.4094
1416341_at,Polr2c,0.77003678,0.0416
1416342_at,Tnc,0.63879706,-0.1144
1416343_a_at,Lamp2,0.35439031,0.2216
1416344_at,Lamp2,0.63270952,0.0868
1416345_at,Timm8a1,0.73575917,-0.0542
1416346_at,Timm8a1,0.88146313,-0.02
1416347_at,Men1,0.5944723,-0.1004
1416348_at,Men1,0.61188753,-0.099
1416349_at,Mrpl34,0.67170788,-0.0836
1416350_at,Klf16,0.77041965,-0.063
1416351_at,Map2k1,0.40959924,-0.1102
1416352_s_at,Gpsn2,0.43730935,-0.092
1416353_at,Nr1h2,0.7269792,-0.0614
1416354_at,Rbmx,0.45863459,0.1722
1416355_at,Rbmx,0.23019532,0.2386
1416356_at,Gmpr2,0.23476098,-0.1782
1416357_a_at,Mcam,0.21596111,0.3108
1416358_at,0610009O03Rik,0.23369909,-0.2182
1416359_at,Snag1,0.42329906,0.1174
1416360_at,Snag1,0.31412102,0.1566
1416361_a_at,Dncic1,0.90390259,-0.0236
1416362_a_at,Fkbp4,0.70292807,0.0754
1416363_at,Fkbp4,0.42590758,-0.1516
1416364_at,Hsp90ab1,0.72647222,-0.052
1416365_at,Hsp90ab1,0.084167643,0.405
1416366_at,Ndufc2,0.9089993,-0.0156
1416367_at,C7orf55,0.4274734,-0.1484
1416368_at,Gsta4,0.46227311,-0.156
1416369_at,5730414C17Rik,0.72842603,0.037
1416370_at,Zipro1,0.97785514,-0.0048
1416371_at,Apod,0.36859569,0.2736
1416372_at,Ptdss1,0.97762979,-0.003
1416373_at,Nfs1,0.7234179,-0.0484
1416374_at,Ap3m1,0.92780557,0.011
1416375_at,Ap3m1,0.59788605,-0.0898
1416376_at,1810014L12Rik,0.70791298,-0.0546
1416377_at,Pdcd7,0.63376796,-0.057
1416378_at,Pnkp,0.27070729,-0.2592
1416379_at,Panx1,0.20911564,-0.1866
1416380_at,Mov10,0.4917651,-0.1662
1416381_a_at,Prdx5,0.77552294,-0.0282
1416382_at,Ctsc,0.32807861,-0.4134
1416383_a_at,Pcx,0.71824892,0.0942
1416384_a_at,Cope,0.20423136,-0.237
1416385_a_at,M6pr,0.95827424,-0.0048
1416386_a_at,M6pr,0.76036277,0.0406
1416387_at,Pip5k2c,0.70355959,-0.1014
1416388_at,Pip5k2c,0.88503949,-0.033
1416389_a_at,Rcbtb2,0.39397148,0.244
1416390_at,Rcbtb2,0.59326363,0.1788
1416391_at,Ptcd1,0.72290757,0.136
1416392_a_at,Atp6v0c,0.80524242,-0.027
1416393_at,Grcc2f,0.5751436,-0.0634
1416394_at,Bag1,0.30908921,-0.1652
1416395_at,Guk1,0.14710054,-0.1782
1416396_at,Snx4,0.56997544,-0.0958
1416397_at,Mesdc1,0.62931559,0.134
1416398_at,Mesdc1,0.25170725,-0.74
1416399_a_at,Hmox2,0.54790039,-0.056
1416400_at,Pycrl,0.44280098,-0.1356
1416401_at,Cd82,0.49749429,-0.2544
1416402_at,Abcb10,0.38379596,-0.1022
1416403_at,Abcb10,0.78176045,0.0582
1416404_s_at,Rps16,0.29830666,-0.1222
1416405_at,Bgn,0.94800553,0.0142
1416406_at,Pea15,0.47800736,-0.1036
1416407_at,Pea15,0.433114,-0.1178
1416408_at,Acox1,0.49927115,0.1168
1416409_at,Acox1,0.040147585,0.3494
1416410_at,Pafah1b3,0.38048566,-0.2234
1416411_at,Gstm2,0.73212017,-0.0826
1416412_at,Nsmaf,0.53224169,-0.0964
1416413_at,Ctsj,0.69979176,0.0534
1416414_at,Emilin1,0.44709883,-0.1878
1416415_a_at,H2afz,0.99140952,0.0014
1416416_x_at,Gstm1,0.76581886,-0.066
1416417_a_at,Ndufb7,0.4149279,-0.1202
1416418_at,Gabarapl1,0.78776646,0.023
1416419_s_at,Gabarapl1,0.80994893,-0.0214
1416420_a_at,Rpl9,0.79176989,-0.0326
1416421_a_at,Ssb,0.6876894,0.1116
1416422_a_at,Ssb,0.81621716,0.0624
1416423_x_at,Ssb,0.60621777,0.1128
1416424_at,M6prbp1,0.83968698,0.0612
1416425_at,Pex19,0.37931305,0.1564
1416426_at,Rab5a,0.68619137,0.0498
1416427_at,Ccni,0.76757257,0.0516
1416428_at,Thap11,0.40598849,-0.085
1416429_a_at,Cat,0.32379182,0.206
1416430_at,Cat,0.40047067,0.109
1416431_at,Tubb6,0.34850737,-0.2768
1416432_at,Pfkfb3,0.22566851,0.3918
1416433_at,Rpa2,0.24948523,-0.2614
1416434_at,Bcl2l10,0.73969497,-0.0632
1416435_at,Ltbr,0.68724876,-0.0616
1416436_a_at,Bfzb,0.79188759,0.0446
1416437_a_at,Mapk8ip3,0.77977118,0.103
1416438_at,Siahbp1,0.7261317,-0.0474
1416439_at,2410015N17Rik,0.31776848,-0.1302
1416440_at,Cd164,0.92969011,0.0096
1416441_at,Pgcp,0.72959279,0.078
1416442_at,Ier2,0.69064699,0.1008
1416443_a_at,Sae1,0.12638885,-0.2482
1416444_at,Elovl2,0.95845147,0.0098
1416445_at,Fam98a,0.32822563,0.107
1416446_at,Tmem30a,0.94860389,0.009
1416447_at,Tmem30a,0.27326582,0.2972
1416448_at,Itpa,0.2499236,-0.1302
1416449_x_at,Stxbp2,0.37551955,-0.1482
1416450_at,Tbn,0.45819981,-0.129
1416451_s_at,Tbn,0.9701209,0.0068
1416452_at,Oat,0.83655471,-0.0294
1416453_x_at,Rps12,0.22998194,-0.1454
1416454_s_at,Acta2,0.74079336,0.0574
1416455_a_at,Cryab,0.30541915,0.3866
1416456_a_at,Chia,0.93916794,-0.0246
1416457_at,Ddah2,0.96139648,-0.0104
1416458_at,Arf2,0.68118544,0.0614
1416459_at,Arf2,0.87235203,0.0328
1416460_at,Miox,0.63641506,-0.075
1416461_at,Gpiap1,0.66162328,0.0716
1416462_at,Gpiap1,0.34820622,0.1254
1416463_at,Gpiap1,0.3669142,0.1442
1416464_at,Slc4a1,0.51020244,0.121
1416465_a_at,Vapa,0.55439913,0.069
1416466_at,Vapa,0.55690695,0.0812
1416467_at,Ddx3x,0.33483228,0.2424
1416468_at,Aldh1a1,0.99221764,-0.0052
1416469_at,Luzp1,0.57013939,0.1004
1416470_a_at,Rpn1,0.67117227,-0.0354
1416471_at,Cept1,0.63239254,0.0524
1416472_at,Syap1,0.30660491,-0.0986
1416473_a_at,Nope,0.43490837,-0.1664
1416474_at,Nope,0.40880236,-0.154
1416475_at,Ube2d2,0.38993091,0.1422
1416476_a_at,Ube2d2,0.82964703,0.025
1416477_at,Ube2d2,0.29711061,0.1284
1416478_a_at,Mdh2,0.18595187,-0.1172
1416479_a_at,Tmem14c,0.79963723,0.0404
1416480_a_at,Hig1,0.56606465,0.1196
1416481_s_at,Hig1,0.34381235,-0.1604
1416482_at,Ttc3,0.36868108,0.1766
1416483_at,Ttc3,0.95204937,-0.0074
1416484_at,Ttc3,0.59053846,0.1336
1416485_at,Timm23,0.98345366,-0.0028
1416486_at,Scye1,0.28126834,-0.1306
1416487_a_at,Yap1,0.84091577,0.0366
1416488_at,Ccng2,0.84319168,0.032
1416489_at,Pi4k2b,0.72610814,-0.058
1416490_at,Tmed6,0.98628764,-0.0024
1416491_at,Numbl,0.66471817,-0.1232
1416492_at,Ccne1,0.96108084,0.0108
1416493_at,Ddost,0.76435417,0.0612
1416494_at,Ndufs5,0.81815714,-0.0334
1416495_s_at,Ndufs5,0.94636686,0.0086
1416496_at,Mrfap1,0.90002545,0.0122
1416497_at,Pdia4,0.65334292,-0.1216
1416498_at,Ppic,0.58311023,-0.1308
1416499_a_at,Dctn6,0.78307726,0.0688
1416500_at,Sacm1l,0.94720598,0.0102
1416501_at,Pdpk1,0.70667313,0.0914
1416502_a_at,Preb,0.31964511,-0.1016
1416503_at,Lxn,0.34378477,-0.2026
1416504_at,Ulk1,0.90126819,0.0374
1416505_at,Nr4a1,0.62691363,0.2316
1416506_at,Psma6,0.68054442,-0.0556
1416507_at,Tmem4,0.20483418,-0.2096
1416508_at,Med28,0.8670483,-0.0222
1416509_at,Tm9sf3,0.77949931,0.0468
1416510_at,Mrpl4,0.45338533,-0.1104
1416511_a_at,Cdc42ep4,0.92587933,-0.0158
1416512_at,Nubp2,0.17849475,-0.2978
1416513_at,Lamb2,0.96690071,-0.0156
1416514_a_at,Fscn1,0.85281083,-0.0398
1416515_at,Fscn1,0.58526491,0.358
1416516_at,Fscn1,0.63710596,0.278
1416517_at,Nte,0.40571241,-0.1336
1416518_at,H1foo,0.39764899,-0.1916
1416519_at,Rpl36,0.93968,-0.013
1416520_x_at,Rpl36,0.71523954,-0.07
1416521_at,Sepw1,0.89195883,0.066
1416522_a_at,Grcc10,0.43833417,-0.1116
1416523_at,Rnase1,0.96232337,-0.009
1416524_at,Spop,0.86856617,-0.0146
1416525_at,Spop,0.69681624,0.0586
1416526_a_at,Park7,0.99367434,-0.001
1416527_at,Rab32,0.87116491,0.0348
1416528_at,Sh3bgrl3,0.31867996,-0.2186
1416529_at,Emp1,0.40723039,-0.4146
1416530_a_at,Pnp,0.076819272,-0.7176
1416531_at,Gsto1,0.37249907,0.1468
1416532_at,AI481500,0.66678788,-0.0834
1416533_at,Egln2,0.80358621,-0.0324
1416534_at,Dpf2,0.66647609,-0.0344
1416535_at,Mcrs1,0.80022994,-0.0438
1416536_at,Mum1,0.42927789,-0.1428
1416537_at,Creld1,0.5492287,0.0838
1416538_at,Ysg2,0.48211218,-0.1676
1416539_at,Ysg2,0.16352791,-0.2516
1416540_at,Hgs,0.78057585,-0.043
1416541_at,Skd3,0.32817559,-0.1584
1416542_at,Phf1,0.4491759,-0.146
1416543_at,Nfe2l2,0.44063434,0.123
1416544_at,Ezh2,0.63594721,-0.0876
1416545_at,Zdhhc7,0.55680904,-0.0616
1416546_a_at,Rpl6,0.54781247,-0.0734
1416547_at,Ndufb3,0.63570077,-0.0698
1416548_at,Slc35b4,0.66705301,-0.063
1416549_at,Slc35b4,0.97549361,-0.0032
1416550_at,Slc35b4,0.90010826,-0.0154
1416551_at,Atp2a2,0.61569806,0.0624
1416552_at,Dppa5,0.60329122,-0.0966
1416553_at,Stra13,0.58480336,-0.1178
1416554_at,Pdlim1,0.94663139,-0.017
1416555_at,Ei24,0.97821836,-0.0022
1416556_at,Sas,0.65879084,0.056
1416557_a_at,Snrp116,0.93712842,-0.0146
1416558_at,Melk,0.78446481,-0.064
1416559_at,1500003O22Rik,0.62663782,-0.1102
1416560_at,Slc13a3,0.38135415,-0.2892
1416561_at,Gad1,0.54248163,-0.1026
1416562_at,Gad1,0.75233818,-0.0748
1416563_at,Ctps,0.34482863,-0.12
1416564_at,Sox7,0.98460262,0.0034
1416565_at,Cox6b1,0.55113078,-0.0628
1416566_at,Strap,0.98555303,0.0018
1416567_s_at,Atp5e,0.61092163,-0.1418
1416568_a_at,Acin1,0.34307399,0.2128
1416569_at,Actl6a,0.42553943,0.2082
1416570_s_at,Gfm1,0.35834009,0.1554
1416571_at,Traf4,0.93336622,-0.02
1416572_at,Mmp14,0.88318807,-0.0334
1416573_at,Pofut2,0.72631001,0.0998
1416574_at,Tox4,0.68943969,0.0506
1416575_at,Cdc45l,0.34414239,-0.1796
1416576_at,Socs3,0.85291982,-0.0322
1416577_a_at,Rbx1,0.6100328,-0.114
1416578_at,Rbx1,0.92520837,0.0146
1416579_a_at,Tacstd1,0.83252722,-0.0478
1416580_a_at,Stub1,0.23093089,-0.1368
1416581_at,Wdr5,0.10789317,-0.1584
1416582_a_at,Bad,0.91690364,-0.0132
1416583_at,Bad,0.74148788,-0.0574
1416584_at,Man2b2,0.84544521,-0.054
1416585_at,Ruvbl1,0.3865773,-0.1088
1416586_at,Zfp239,0.42910444,-0.0804
1416587_a_at,Xrcc1,0.97973958,-0.0052
1416588_at,Ptprn,0.91633464,0.0292
1416589_at,Sparc,0.51240026,-0.2172
1416590_a_at,Rab34,0.20143692,-0.3472
1416591_at,Rab34,0.20765126,-0.3424
1416592_at,Glrx1,0.14919283,-0.2308
1416593_at,Glrx1,0.40599621,-0.1576
1416594_at,Sfrp1,0.45937545,-0.256
1416595_at,Mrps22,0.96777714,-0.0076
1416596_at,Slc44a4,0.79154464,0.051
1416597_at,Hdgfrp2,0.35171492,-0.1868
1416598_at,Glis2,0.59027096,-0.0698
1416599_at,Glis2,0.4802017,-0.102
1416600_a_at,Rcan1,0.26051825,-0.1464
1416601_a_at,Rcan1,0.82354061,-0.0448
1416602_a_at,Rad52,0.16582764,-0.3056
1416603_at,Rpl22,0.71076799,-0.0648
1416604_at,Cyc1,0.34610837,-0.1266
1416605_at,Nola2,0.28992188,-0.2362
1416606_s_at,Nola2,0.07406645,-0.264
1416607_at,4931406C07Rik,0.081376172,-0.2884
1416608_a_at,C6orf89,0.715873,-0.0936
1416609_at,BC004004,0.97811892,0.0042
1416610_a_at,Clcn3,0.8413593,-0.0324
1416611_at,Scamp2,0.48069046,-0.0736
1416612_at,Cyp1b1,0.62273012,-0.1214
1416613_at,Cyp1b1,0.75683892,-0.0676
1416614_at,Eid1,0.92840177,0.0164
1416615_at,Clpp,0.82378494,-0.0448
1416616_s_at,Clpp,0.39050257,-0.1856
1416617_at,Acas2l,0.92717918,0.0156
1416618_at,Ppox,0.51538345,0.1884
1416619_at,C10orf54,0.86608337,0.0496
1416620_at,Smarcal1,0.70463135,-0.0508
1416621_at,Llglh,0.71704922,-0.0374
1416622_at,Wbscr16,0.72688028,-0.0614
1416623_at,Thbs3,0.67653997,-0.0798
1416624_a_at,Uba52,0.25227985,-0.1084
1416625_at,Serping1,0.28485319,-0.3032
1416626_at,Pla2g1b,0.7594498,-0.0644
1416627_at,Spint1,0.57632166,0.1712
1416628_at,0610006I08Rik,0.51086298,-0.1362
1416629_at,Slc1a5,0.98830661,0.0022
1416630_at,Id3,0.87569342,0.0468
1416631_at,Ap4b1,0.31071202,-0.1314
1416632_at,Mod1,0.30412688,0.2272
1416633_a_at,Fam96a,0.46340895,-0.173
1416634_at,5730536A07Rik,0.35608436,-0.1694
1416635_at,Smpdl3a,0.82694762,0.0266
1416636_at,Rheb,0.68645379,-0.0674
1416637_at,Slc4a2,0.63513356,0.1238
1416638_at,Sall2,0.82489575,-0.0652
1416639_at,Slc2a5,0.71812405,0.1062
1416640_at,Kcne1l,0.87094885,0.041
1416641_at,Lig1,0.090193518,-0.2436
1416642_a_at,Tpt1,0.91577152,0.0098
1416643_at,BF608828,0.87938206,0.0348
1416644_a_at,Sema3b,0.28382012,-0.1842
1416645_a_at,Afp,0.23571319,-0.337
1416646_at,Afp,0.83258015,-0.0326
1416647_at,Bckdha,0.52656302,-0.0904
1416648_at,Dnchc1,0.83517853,-0.0406
1416649_at,Ambp,0.90296667,0.021
1416650_at,Rfpl4,0.53160999,-0.1268
1416651_at,Znhit2,0.41601041,-0.1312
1416652_at,Aspn,0.69869117,-0.0888
1416653_at,Stxbp3a,0.93888707,0.018
1416654_at,Slc31a2,0.48966706,-0.1088
1416655_at,C1galt1c1,0.59098463,0.0774
1416656_at,Clic1,0.5730875,-0.1198
1416657_at,Akt1,0.43378412,-0.1812
1416658_at,Frzb,0.95525413,0.0242
1416659_at,Eif3s10,0.38160221,-0.1092
1416660_at,Eif3s10,0.1702571,0.311
1416661_at,Eif3s10,0.12255862,0.5878
1416662_at,Sardh,0.64976684,-0.0652
1416663_at,Ndufa9,0.85796152,-0.022
1416664_at,Cdc20,0.14595934,-0.1966
1416665_at,Coq7,0.54066508,0.1598
1416666_at,Serpine2,0.19981215,0.2052
1416667_at,Ebp,0.78189223,-0.0444
1416668_at,Ttc35,0.54082383,-0.0838
1416669_s_at,Naca,0.13241542,-0.1892
1416670_at,Setdb1,0.47919256,0.154
1416671_a_at,Mcoln1,0.47330049,-0.0842
1416672_s_at,2210015I05Rik,0.17398738,-0.2048
1416673_at,Bace2,0.62291713,-0.0936
1416674_at,Ptpru,0.88885077,-0.0328
1416675_s_at,Plcd1,0.78420532,-0.0524
1416676_at,Kng1,0.88634588,-0.0246
1416677_at,Apoh,0.94410936,-0.0148
1416678_at,Cops3,0.63544991,-0.0684
1416679_at,Abcd3,0.45597103,0.1072
1416680_at,Ube3a,0.555006,-0.101
1416681_at,Ube3a,0.83548749,0.0782
1416682_at,Ube3a,0.76300306,0.119
1416683_at,Plxnb2,0.61749158,-0.1184
1416684_at,Fbl,0.78724871,-0.0498
1416685_s_at,Fbl,0.54831236,-0.09
1416686_at,Plod2,0.42198554,-0.2128
1416687_at,Plod2,0.60176796,-0.1822
1416688_at,Snap91,0.46187962,-0.0952
1416689_at,Tuft1,0.72652449,-0.0782
1416690_at,Gtpbp2,0.87794539,-0.0218
1416691_at,Gtpbp2,0.83850073,0.0528
1416692_at,Coil,0.76925581,0.0552
1416693_at,Foxc2,0.36438223,-0.2958
1416694_at,Gk2,0.25452969,-0.2148
1416695_at,Bzrp,0.42503756,-0.139
1416696_at,D17Wsu104e,0.71383185,-0.0722
1416697_at,Dpp4,0.99275486,-0.0022
1416698_a_at,Cks1b,0.8182963,-0.08
1416699_at,C20oirf24,0.39828074,-0.1114
1416700_at,Rhoe,0.61966823,-0.2286
1416701_at,Rhoe,0.83059882,-0.0972
1416702_at,Serpini1,0.43446026,0.3036
1416703_at,Mapk14,0.85394471,0.0186
1416704_at,Mapk14,0.44789048,0.106
1416705_at,Rpe,0.29810097,0.2538
1416706_at,Rpe,0.12103562,0.3382
1416707_a_at,Pmf1,0.66363361,-0.0738
1416708_a_at,D7Bwg0611e,0.2429263,-0.2158
1416709_a_at,Ngrn,0.61277622,-0.0854
1416710_at,Tmem35,0.60521861,0.052
1416711_at,Tbr1,0.88878867,0.0736
1416712_at,Pep4,0.29536166,-0.0964
1416713_at,Tppp3,0.8347007,-0.0672
1416714_at,Icsbp1,0.82535228,-0.0534
1416715_at,Gjb3,0.73435058,-0.0546
1416716_at,Efs,0.18296091,-0.2956
1416717_at,Crisp2,0.70581714,-0.0656
1416718_at,Bcan,0.76446827,0.0946
1416719_a_at,Rps10,0.41051015,-0.0988
1416720_at,Sfsf6,0.75031694,0.049
1416721_s_at,Sfsf6,0.85780675,-0.0222
1416722_at,Hmg20a,0.78587675,-0.033
1416723_at,Tcf4,0.68080286,0.1174
1416724_x_at,Tcf4,0.33049297,0.28
1416725_at,Tcf4,0.56369789,0.1
1416726_s_at,Ube2s,0.64352079,-0.1598
1416727_a_at,Cyb5,0.86201794,0.0244
1416728_at,Csnk2b,0.9469428,-0.0082
1416729_at,Plg,0.036380336,-0.3032
1416730_at,Rcl1,0.47510426,-0.0902
1416731_at,Top2b,0.82873712,0.029
1416732_at,Top2b,0.49560696,0.1526
1416733_at,Mkln1,0.91877027,0.0136
1416734_at,Mkln1,0.90757908,0.0268
1416735_at,Asah1,0.53994767,0.0694
1416736_at,Casc3,0.22992772,-0.1816
1416737_at,Gys3,0.81615708,0.035
1416738_at,Brap,0.93926318,0.0146
1416739_a_at,Brap,0.50152605,0.1178
1416740_at,Col5a1,0.25474455,-0.2354
1416741_at,Col5a1,0.44400179,-0.1172
1416742_at,Cfdp1,0.89773594,-0.022
1416743_at,Uap1,0.36767912,0.1262
1416744_at,Uap1,0.99832208,0.0004
1416745_x_at,Uap1,0.56919105,-0.0886
1416746_at,H2afx,0.37074463,-0.1558
1416747_at,Mfsd5,0.76599806,-0.0372
1416748_a_at,Mre11a,0.93412976,0.02
1416749_at,Htra1,0.17348046,0.2792
1416750_at,Oprs1,0.51438431,-0.1058
1416751_a_at,Ddx20,0.81455016,0.0326
1416752_at,Ldb3,0.87662182,-0.0318
1416753_at,Prkar1b,0.81155763,-0.0494
1416754_at,Prkar1b,0.88296405,0.0372
1416755_at,Dnajb1,0.87942261,0.0332
1416756_at,Dnajb1,0.73568827,0.069
1416757_at,2310031L18Rik,0.46275097,-0.21
1416758_at,Arhgap27,0.64348555,-0.0768
1416759_at,Mical1,0.69823507,-0.1238
1416760_at,Galntl1,0.76684725,-0.0654
1416761_at,Hsd11b2,0.66080801,-0.072
1416762_at,S100a10,0.38701313,0.2712
1416763_at,Cdc123,0.7887774,-0.0334
1416764_at,Fis1,0.44489353,-0.0968
1416765_s_at,Magmas,0.31265708,-0.1726
1416766_at,2810484M10Rik,0.52694661,-0.0964
1416767_a_at,1110003E01Rik,0.32033181,-0.139
1416768_at,C4orf34,0.4682103,-0.0884
1416769_s_at,Atp6v0b,0.32138752,-0.1186
1416770_at,Stk25,0.22973938,1.797
1416771_at,Trappc3,0.4942277,-0.1066
1416772_at,Cpt2,0.60204487,-0.093
1416773_at,Wee1,0.83214244,0.0348
1416774_at,Wee1,0.63322512,0.1014
1416775_at,2310004L02Rik,0.40686737,-0.1544
1416776_at,Crym,0.27259695,0.3726
1416777_at,Ceacam12,0.8933212,-0.038
1416778_at,Sdpr,0.63654992,0.1804
1416779_at,Sdpr,0.35849557,0.4962
1416780_at,Pfkm,0.83752683,0.0286
1416781_at,Praf2,0.32654028,-0.1156
1416782_s_at,DXImx39e,0.2679146,-0.1378
1416783_at,Tac1,0.45314902,-0.1586
1416784_at,Pgk2,0.36822585,0.1524
1416785_at,Kcnip1,0.76146518,-0.0786
1416786_at,Acvr1,0.70803151,0.0724
1416787_at,Acvr1,0.94363462,-0.0118
1416788_a_at,Idh3g,0.38798587,-0.101
1416789_at,Idh3g,0.54837176,-0.071
1416790_a_at,Tdg,0.97012336,0.0072
1416791_a_at,Nxf1,0.28928375,-0.1194
1416792_at,Ppm1g,0.95133449,0.0082
1416793_at,Atl2,0.87816591,-0.019
1416794_at,Atl2,0.62991964,0.1408
1416795_at,Cryl1,0.64492968,-0.0982
1416796_at,Nck2,0.89293203,-0.0232
1416797_at,Nck2,0.8775656,0.0312
1416798_a_at,Nme4,0.53579692,-0.1
1416799_at,Trpm7,0.8846044,0.0184
1416800_at,Trpm7,0.34014291,0.1524
1416801_at,Trpm7,0.36165861,0.2714
1416802_a_at,Cdca5,0.90907943,0.0278
1416803_at,Fkbp7,0.73459319,-0.0756
1416804_at,Ehbp1l1,0.83650786,-0.0508
1416805_at,1110032E23Rik,0.69090744,-0.2602
1416806_at,Fdxr,0.94759773,-0.0088
1416807_at,Rpl36a,0.20473628,-0.1264
1416808_at,Nid1,0.93473778,0.0248
1416809_at,Cyp3a11,0.82074859,0.0594
1416810_at,Mea1,0.3204301,-0.1756
1416811_s_at,Ctla2a,0.76912056,-0.11
1416812_at,Tia1,0.99018197,0.0018
1416813_at,C87436,0.25615412,-0.1528
1416814_at,Tia1,0.54717327,-0.0834
1416815_s_at,Bub3,0.96877967,0.0052
1416816_at,Nek7,0.39685179,0.1492
1416817_at,Nek7,0.88953798,0.0238
1416818_at,Parva,0.61574213,0.094
1416819_at,Cdc37,0.88865285,-0.018
1416820_at,Cdc37,0.93733787,-0.011
1416821_at,Es2el,0.47609331,-0.0848
1416822_at,Es2el,0.46896231,-0.132
1416823_a_at,Osbpl1a,0.1819792,0.2716
1416824_at,C11orf74,0.48506837,-0.117
1416825_at,Snta1,0.17044159,-0.3582
1416826_a_at,Usp49,0.54638737,-0.1256
1416827_at,Tbxas1,0.33976922,-0.1258
1416828_at,Snap25,0.84534951,0.0266
1416829_at,Atp5b,0.70915586,0.0344
1416830_at,0610031J06Rik,0.24403851,-0.1412
1416831_at,Neu1,0.68952031,-0.066
1416832_at,Slc39a8,0.99717337,-0.001
1416833_at,Keg1,0.21392735,0.1548
1416834_x_at,Ndufb2,0.63197079,-0.0936
1416835_s_at,Amd1,0.87592182,-0.0366
1416836_at,Lrp10,0.46586749,-0.1618
1416837_at,Bax,0.42848261,-0.1124
1416838_at,Mut,0.28600262,-0.3164
