target,gene,p-value,parental difference (B6-DBA)
1416024_x_at,Cct3,0.45555493,-0.0784
1416025_at,Fgg,0.4414583,-0.117
1416026_a_at,Rpl12,0.90201764,0.0246
1416027_at,Pdcd6,0.64304992,0.051
1416028_a_at,Hn1,0.22903155,-0.2776
1416029_at,Tieg1,0.3676584,0.299
1416030_a_at,Mcm7,0.97232451,0.0098
1416031_s_at,Mcm7,0.99022914,0.0022
1416032_at,MGC5508,0.88132573,0.0514
1416033_at,1110006I15Rik,0.60186222,0.1716
1416034_at,Cd24a,0.777103,0.2644
1416035_at,Hif1a,0.64606375,-0.0742
1416036_at,Fkbp1a,0.97999531,-0.0032
1416037_a_at,Cct2,0.63155301,-0.0518
1416038_at,Snd1,0.80068429,-0.051
1416039_x_at,Cyr61,0.2387094,-0.2206
1416040_at,Lipf,0.81880946,-0.0408
1416041_at,Sgk1,0.91969795,-0.0372
1416042_s_at,Nasp,0.88193557,-0.032
1416043_at,Nasp,0.98914346,-0.0036
1416044_at,Fliih,0.60512836,-0.1376
1416045_a_at,Smarcb1,0.55929183,-0.1276
1416046_a_at,Fuca2,0.48131193,0.2274
1416047_at,Fuca2,0.28795137,-0.3642
1416048_at,Phc2,0.64469482,-0.1056
1416049_at,Gldc,0.29351041,0.1878
1416050_a_at,Scarb1,0.55248116,-0.1186
1416051_at,C2,0.57716371,-0.1004
1416052_at,Prps1,0.39824152,-0.1292
1416053_at,Lrrn1,0.29869981,0.2438
1416054_at,Rps5,0.34749555,-0.1052
1416055_at,Amy2,0.9306758,-0.022
1416056_a_at,Ndufb11,0.32508494,-0.1562
1416057_at,Ndufb11,0.79831154,-0.0484
1416058_s_at,Atp5c1,0.35295601,-0.1138
1416059_at,Sec23b,0.96433284,0.005
1416060_at,Tbc1d15,0.44610855,0.2014
1416061_at,Tbc1d15,0.25442573,0.2314
1416062_at,Tbc1d15,0.35307263,0.2682
1416063_x_at,Ceacam11,0.83014264,0.033
1416064_a_at,Hspa5,0.7120718,0.1132
1416065_a_at,Ankrd10,0.80120689,-0.051
1416066_at,Cd9,0.96533076,0.011
1416067_at,Ifrd1,0.51076783,-0.179
1416068_at,Kars,0.16481265,-0.1318
1416069_at,Pfkp,0.70244898,-0.0432
1416070_a_at,Ddx18,0.71815473,-0.0452
1416071_at,Ddx18,0.33148076,0.1692
